Kode Variabel,Label,label_english,Variable Type,Aggregation Method,aggregation,Notes
R1005E,PENGAKTIFAN SISTEM KEAMANAN LINGKUNGAN BERASAL DARI INISIATIF WARGA SELAMA SETAHUN TERAKHIR,Activation of the environmental security system comes from citizens' initiatives for the past year,village level,proportion of initiatives from citizens,proportion,
R1006A,JUMLAH MASJID DI DESA/KELURAHAN,The number of mosques in the village/kelurahan,village level,total number of mosques,sum,
R1006B,JUMLAH SURAU/LANGGAR/MUSHOLLA DI DESA/KELURAHAN,Number of Surau/Langgar/Musholla in the Village/Kelurahan,village level,total number of musholla,sum,
R1006C,JUMLAH GEREJA KRISTEN,Number of Christian Churches,village level,total number of churches,sum,
R1006D,JUMLAH GEREJA KATOLIK,Number of Catholic Churches,village level,total number of catholic churches,sum,
R1006E,JUMLAH KAPEL,Number of chapels,village level,total number of chapels,sum,
R1006F,JUMLAH PURA,Number of temples,village level,total number of puras,sum,
R1006G,JUMLAH WIHARA,Number of temples,village level,total number of temples,sum,
R1006H,JUMLAH KELENTENG,Number of temples,village level,total number of temples,sum,
R1006I,JUMLAH LAINNYA,Other quantities,village level,total number of others ,sum,
R1101AK2,KEJADIAN TANAH LONGSOR,Landslide incidence,village level,proportion of events,proportion,
R1101AK3,BANYAK KEJADIAN TANAH LONGSOR 2019,Many landslide events 2019,village level,total number of events,sum,
R1101AK4,KORBAN JIWA TANAH LONGSOR 2019,Landslide fatalities 2019,village level,total number of fatalities,sum,
R1101AK5,BANYAK KEJADIAN TANAH LONGSOR 2020 (JANUARI-MARET),Many landslide events 2020 (January-March),village level,total number of events,sum,
R1101AK6,KORBAN JIWA TANAH LONGSOR 2020 (JANUARI-MARET),Landslide fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101BK2,KEJADIAN BANJIR,Flood events,village level,proportion of events,proportion,
R1101BK3,BANYAK KEJADIAN BANJIR 2019,Many flood events 2019,village level,total number of events,sum,
R1101BK4,KORBAN JIWA BANJIR 2019,Flood fatalities 2019,village level,total number of fatalities,sum,
R1101BK5,BANYAK KEJADIAN BANJIR 2020 (JANUARI-MARET),Many flood events 2020 (January-March),village level,total number of events,sum,
R1101BK6,KORBAN JIWA BANJIR 2020 (JANUARI-MARET),Flood fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101CK2,KEJADIAN BANJIR BANDANG,Flash floods,village level,proportion of events,proportion,
R1101CK3,BANYAK KEJADIAN BANJIR BANDANG 2019,Many flash flood events 2019,village level,total number of events,sum,
R1101CK4,KORBAN JIWA BANJIR BANDANG 2019,Flash flood fatalities 2019,village level,total number of fatalities,sum,
R1101CK5,BANYAK KEJADIAN BANJIR BANDANG 2020 (JANUARI-MARET),Many flash flood events 2020 (January-March),village level,total number of events,sum,
R1101CK6,KORBAN JIWA BANJIR BANDANG 2020 (JANUARI-MARET),Flash Flood Life 2020 (January-March),village level,total number of fatalities,sum,
R1101DK2,KEJADIAN GEMPA BUMI,Earthquake incidence,village level,proportion of events,proportion,
R1101DK3,BANYAK KEJADIAN GEMPA BUMI 2019,Many earthquake events 2019,village level,total number of events,sum,
R1101DK4,KORBAN JIWA GEMPA BUMI 2019,Earthquake casualties 2019,village level,total number of fatalities,sum,
R1101DK5,BANYAK KEJADIAN GEMPA BUMI 2020 (JANUARI-MARET),Many Earthquakes 2020 (January-March),village level,total number of events,sum,
R1101DK6,KORBAN JIWA GEMPA BUMI 2020 (JANUARI-MARET),Earthquake casualties 2020 (January-March),village level,total number of fatalities,sum,
R1101EK2,KEJADIAN TSUNAMI,Tsunami events,village level,proportion of events,proportion,
R1101EK3,BANYAK KEJADIAN TSUNAMI 2019,Many tsunami events 2019,village level,total number of events,sum,
R1101EK4,KORBAN JIWA TSUNAMI 2019,Tsunami casualties 2019,village level,total number of fatalities,sum,
R1101EK5,BANYAK KEJADIAN TSUNAMI 2020 (JANUARI-MARET),Many Tsunami events 2020 (January-March),village level,total number of events,sum,
R1101EK6,KORBAN JIWA TSUNAMI 2020 (JANUARI-MARET),Tsunami fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101FK2,KEJADIAN GELOMBAN PASANG LAUT,The incidence of tides,village level,proportion of events,proportion,
R1101FK3,BANYAK KEJADIAN GELOMBAN PASANG LAUT 2019,Many Sea Tidal Events 2019,village level,total number of events,sum,
R1101FK4,KORBAN JIWA GELOMBAN PASANG LAUT 2019,Fatalities of seas tides 2019,village level,total number of fatalities,sum,
R1101FK5,BANYAK KEJADIAN GELOMBAN PASANG LAUT 2020 (JANUARI-MARET),Many events of sea tide 2020 (January-March),village level,total number of events,sum,
R1101FK6,KORBAN JIWA GELOMBAN PASANG LAUT 2020 (JANUARI-MARET),Cats of Sea Tidal Floms 2020 (January-March),village level,total number of fatalities,sum,
R1101GK2,KEJADIAN ANGIN PUYUH/PUTING BELIUNG/TOPAN,The incidence of a quail/tornado/typhoon wind,village level,proportion of events,proportion,
R1101GK3,BANYAK KEJADIAN ANGIN PUYUH/PUTING BELIUNG/TOPAN 2019,Many quail/tornado/typhoon 2019 wind events,village level,total number of events,sum,
R1101GK4,KORBAN JIWA ANGIN PUYUH/PUTING BELIUNG/TOPAN 2019,Casting Wind Faith/Nipples/Typhoon 2019,village level,total number of fatalities,sum,
R1101GK5,BANYAK KEJADIAN ANGIN PUYUH/PUTING BELIUNG/TOPAN 2020 (JANUARI-MARET),Many Winds of Quail/Tornado/Typhoon 2020 (January-March),village level,total number of events,sum,
R1101GK6,KORBAN JIWA ANGIN PUYUH/PUTING BELIUNG/TOPAN 2020 (JANUARI-MARET),Casting a Fair Wind/Tornado/Typhoon 2020 (January-March),village level,total number of fatalities,sum,
R1101HK2,KEJADIAN GUNUNG MELETUS,The incidence of volcanic erupted,village level,proportion of events,proportion,
R1101HK3,BANYAK KEJADIAN GUNUNG MELETUS 2019,Many Mount Eruptions 2019,village level,total number of events,sum,
R1101HK4,KORBAN JIWA GUNUNG MELETUS 2019,Volcanic Life Erupts 2019,village level,total number of fatalities,sum,
R1101HK5,BANYAK KEJADIAN GUNUNG MELETUS 2020 (JANUARI-MARET),Many Mount Eruptions 2020 (January-March),village level,total number of events,sum,
R1101HK6,KORBAN JIWA GUNUNG MELETUS 2020 (JANUARI-MARET),Mount erupting fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101IK2,KEJADIAN KEBAKARAN HUTAN DAN LAHAN,Forest and land fires,village level,proportion of events,proportion,
R1101IK3,BANYAK KEJADIAN KEBAKARAN HUTAN DAN LAHAN 2019,Many Forest and Land Fire Events 2019,village level,total number of events,sum,
R1101IK4,KORBAN JIWA KEBAKARAN HUTAN DAN LAHAN 2019,Forest and Land Fire Lats 2019,village level,total number of fatalities,sum,
R1101IK5,BANYAK KEJADIAN KEBAKARAN HUTAN DAN LAHAN 2020 (JANUARI-MARET),Many Forest and Land Fires 2020 (January-March),village level,total number of events,sum,
R1101IK6,KORBAN JIWA KEBAKARAN HUTAN DAN LAHAN 2020 (JANUARI-MARET),Forest and Land Fire Cats 2020 (January-March),village level,total number of fatalities,sum,
R1101JK2,KEJADIAN KEKERINGAN (LAHAN),Drought (land),village level,proportion of events,proportion,
R1101JK3,BANYAK KEJADIAN KEKERINGAN (LAHAN) 2019,Many drought events (land) 2019,village level,total number of events,sum,
R1101JK4,KORBAN JIWA KEKERINGAN (LAHAN) 2019,Drought casualties (land) 2019,village level,total number of fatalities,sum,
R1101JK5,BANYAK KEJADIAN KEKERINGAN (LAHAN) 2020 (JANUARI-MARET),Many drought (land) 2020 (January-March),village level,total number of events,sum,
R1101JK6,KORBAN JIWA KEKERINGAN (LAHAN) 2020 (JANUARI-MARET),Drought casualties (land) 2020 (January-March),village level,total number of fatalities,sum,
R1102A,SISTEM PERINGATAN DINI BENCANA ALAM,Natural disaster early warning system,village level,proportion of early warning systems,proportion,
R1102B,SISTEM PERINGATAN DINI KHUSUS TSUNAMI,Special tsunami early warning system,village level,proportion of early warning systems,proportion,
R1102C,"PERLENGKAPAN KESELAMATAN (PERAHU KARET, TENDA, MASKER, DLL.)","Safety equipment (rubber boats, tents, masks, etc.)",village level,proportion of safety equipment,proportion,
R1102D,RAMBU-RAMBU DAN JALUR EVAKUASI BENCANA,Signs and Disaster Evacuation Routes,village level,proportion of signs and evacuation roots,proportion,
R1102E,"PEMBUATAN, PERAWATAN, ATAU NORMALISASI: SUNGAI, KANAL, TANGGUL, PARIT, DRAINASE, WADUK, PANTAI, DLL","Manufacturing, maintenance, or normalization: rivers, canals, embankments, ditches, drainage, reservoirs, beaches, etc.",village level,proportion of maintenance of rivers etc,proportion,
R1201A,TANAH KAS DESA/ULAYAT,Village cash/customary land,village level,proportion of village asset ownership,proportion,
R1201B,"BANGUNAN MILIK DESA (BALAI DESA, BALAI RAKYAT, DLL.)","Village -owned buildings (Village Hall, Rakyat Hall, etc.)",village level,proportion of village owned buildings ,proportion,
R1201C,ASET DESA LAINNYA,Other village assets,village level,proportion of other assets,proportion,
R1202,JUMLAH UNIT USAHA BUMDES:,Number of BUMDes Business Units:,village level,total number of business units,sum,
R1203,"JUMLAH PASAR DESA (PASAR HEWAN, PELELANGAN IKAN, PELELANGAN HASIL PERTANIAN, DLL.)","The number of village markets (animal markets, fish auctions, agricultural auctions, etc.)",village level,total number of village markets,sum,
R1204,JUMLAH TAMBATAN PERAHU,Number of boat mooring,village level,total number of boat mooring,sum,
R1301AK2,KEBERADAAN : KEPALA DESA/LURAH,Existence: Village Head/Lurah,village level,proportion of existrnce of village head,proportion,
R1301AK3,UMUR KEPALA DESA/LURAH,Age of the Village Head/Lurah,village level,average age of village head,mean,
R1301AK4,JENIS KELAMIN KEPALA DESA/LURAH,The gender of the village head/lurah,village level,proportion of gender,proportion,
R1301AK5,PENDIDIKAN TERTINGGI YANG DITAMATKAN KEPALA DESA/LURAH,The highest education completed by the village head/lurah,village level,proportion of highest education,proportion,
R1301BK2,KEBERADAAN : SEKRETARIS DESA/SEKRETARIS KELURAHAN,Existence: Village Secretary/Village Secretary,village level,proportion of existrnce of village sec,proportion,
R1301BK3,UMUR SEKRETARIS DESA/SEKRETARIS KELURAHAN,Age of the Village Secretary/Village Secretary,village level,average age of village sec,mean,
R1301BK4,JENIS KELAMIN SEKRETARIS DESA/SEKRETARIS KELURAHAN,The sex of the village secretary/kelurahan secretary,village level,proportion of gender,proportion,
R1301BK5,PENDIDIKAN TERTINGGI YANG DITAMATKAN SEKRETARIS DESA/SEKRETARIS KELURAHAN,The highest education completed by the Village Secretary/Village Secretary,village level,proportion of highest education,proportion,
R1302A,"JUMLAH SEKRETARIAT DESA/KELURAHAN (KAUR KEUANGAN, KAUR PERENCANAAN, DLL)","Number of Village/Kelurahan Secretariat (Kaur Finance, Planning Kaur, etc.)",village level,total number of village secreteriat,sum,
R1302B,"JUMLAH PELAKSANA TEKNIS (KASI PEMERINTAHAN, KASI KESEJAHTERAAN, DLL)","Number of Technical Implementers (Head of Government, Head of Welfare, etc.)",village level,total number of technical implementers,sum,
